,species,genus,family,order,class,phylum,kingdom,superkingdom
2600,2844539,1985365,1910928,2732539,2732424,2732416,2732092,10239
2601,2844554,1985366,1910928,2732539,2732424,2732416,2732092,10239
2602,2844568,1941236,1910928,2732539,2732424,2732416,2732092,10239
2603,28446,2039240,186803,186802,186801,1239,0,2
2604,2844612,1941238,1910928,2732539,2732424,2732416,2732092,10239
2605,2844626,1985367,1910928,2732539,2732424,2732416,2732092,10239
2606,2844641,1985368,1910928,2732539,2732424,2732416,2732092,10239
2607,2844644,1985369,1910928,2732539,2732424,2732416,2732092,10239
2608,2844645,2842699,1910928,2732539,2732424,2732416,2732092,10239
2609,2844646,1985370,1910928,2732539,2732424,2732416,2732092,10239
2610,2844649,2842700,2842332,2842249,2842243,2732407,2732396,10239
2611,2844650,2842701,2842315,2842249,2842243,2732407,2732396,10239
2612,2844652,2842702,2842332,2842249,2842243,2732407,2732396,10239
2613,2844653,2842704,2842319,2842247,2842243,2732407,2732396,10239
2614,2844654,2842705,2842319,2842247,2842243,2732407,2732396,10239
2615,2844656,2842706,2842319,2842247,2842243,2732407,2732396,10239
2616,2844657,2842708,2842314,2842247,2842243,2732407,2732396,10239
2617,2844666,2843412,0,0,2731619,2731618,2731360,10239
2618,2844673,2842796,0,0,2731619,2731618,2731360,10239
2619,2844675,2843027,0,0,2731619,2731618,2731360,10239
2620,2844677,2843069,0,0,2731619,2731618,2731360,10239
2621,2844680,2842709,2842319,2842247,2842243,2732407,2732396,10239
2622,28447,1573,85023,85006,1760,201174,0,2
2623,2844760,2842710,2842332,2842249,2842243,2732407,2732396,10239
2624,2844785,2842712,2842319,2842247,2842243,2732407,2732396,10239
2625,2844793,2842714,2842332,2842249,2842243,2732407,2732396,10239
2626,2844798,2842715,2842319,2842247,2842243,2732407,2732396,10239
2627,2844808,2842717,2842319,2842247,2842243,2732407,2732396,10239
2628,2844809,2842718,2842319,2842247,2842243,2732407,2732396,10239
2629,2844810,2842719,2842332,2842249,2842243,2732407,2732396,10239
2630,2844811,2842720,2842319,2842247,2842243,2732407,2732396,10239
2631,2844816,2843389,2946190,2942680,2731619,2731618,2731360,10239
2632,2844819,2842722,2842315,2842249,2842243,2732407,2732396,10239
2633,2844820,2842723,2842314,2842247,2842243,2732407,2732396,10239
2634,2844822,2842724,2842314,2842247,2842243,2732407,2732396,10239
2635,2844825,2842726,2842332,2842249,2842243,2732407,2732396,10239
2636,2844831,2842731,2842319,2842247,2842243,2732407,2732396,10239
2637,2844832,2842732,2842331,2842247,2842243,2732407,2732396,10239
2638,2844835,2842733,2842314,2842247,2842243,2732407,2732396,10239
